Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CABALLOCOCHA
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,RAMON CASTILLA
Latitud :,3°54'40.5'',Longitud :,70°30'43.4'',Altitud :,107 msnm.
Tipo :,EMA - Meteorológica,Código :,4727547C
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/04/01,00:00,23.9,S/D,100,172,0.0
2026/04/01,01:00,23.9,S/D,100,279,0.0
2026/04/01,02:00,23.9,S/D,100,234,0.0
2026/04/01,03:00,24.3,S/D,97,4,0.4
2026/04/01,04:00,24.1,S/D,96,94,0.0
2026/04/01,05:00,23.8,S/D,98,54,0.0
2026/04/01,06:00,23.9,S/D,98,217,0.0
2026/04/01,07:00,25.0,S/D,92,78,0.0
2026/04/01,08:00,27.2,S/D,84,111,1.1
2026/04/01,09:00,29.0,S/D,77,2,1.4
2026/04/01,10:00,30.9,S/D,67,8,1.1
2026/04/01,11:00,31.9,S/D,60,22,1.8
2026/04/01,12:00,31.9,S/D,63,13,1.9
2026/04/01,13:00,32.4,S/D,62,10,2.3
2026/04/01,14:00,33.3,S/D,54,352,2.0
2026/04/01,15:00,33.0,S/D,61,28,1.8
2026/04/01,16:00,31.1,S/D,71,69,2.4
2026/04/01,17:00,28.2,S/D,74,80,1.7
2026/04/01,18:00,26.2,S/D,86,82,0.3
2026/04/01,19:00,25.9,S/D,91,279,1.3
2026/04/01,20:00,25.3,S/D,95,157,0.0
2026/04/01,21:00,25.2,S/D,98,88,0.0
2026/04/01,22:00,25.4,S/D,97,193,0.0
2026/04/01,23:00,24.8,S/D,98,324,3.3
2026/04/02,00:00,24.9,S/D,100,109,0.1
2026/04/02,01:00,24.8,S/D,100,59,0.0
2026/04/02,02:00,25.1,S/D,100,3,0.0
2026/04/02,03:00,25.0,S/D,100,335,0.0
2026/04/02,04:00,25.0,S/D,99,21,0.0
2026/04/02,05:00,24.9,S/D,100,113,0.0
2026/04/02,06:00,24.8,S/D,100,90,0.0
2026/04/02,07:00,25.2,S/D,100,107,0.0
2026/04/02,08:00,25.1,S/D,100,219,0.5
2026/04/02,09:00,24.0,S/D,100,256,3.1
2026/04/02,10:00,23.8,S/D,100,95,0.5
2026/04/02,11:00,24.4,S/D,100,158,1.0
2026/04/02,12:00,24.8,S/D,99,149,0.2
2026/04/02,13:00,27.5,S/D,83,46,0.5
2026/04/02,14:00,28.3,S/D,84,66,1.2
2026/04/02,15:00,29.0,S/D,80,56,1.0
2026/04/02,16:00,30.3,S/D,71,61,0.8
2026/04/02,17:00,28.3,S/D,81,319,1.8
2026/04/02,18:00,27.1,S/D,89,224,0.0
2026/04/02,19:00,26.4,S/D,94,129,0.0
2026/04/02,20:00,26.2,S/D,95,195,0.0
2026/04/02,21:00,26.0,S/D,96,312,0.0
2026/04/02,22:00,25.5,S/D,98,36,0.0
2026/04/02,23:00,26.0,S/D,96,258,1.3
2026/04/03,00:00,25.1,S/D,93,261,3.2
2026/04/03,01:00,24.6,S/D,92,172,0.5
2026/04/03,02:00,24.4,S/D,90,252,0.5
2026/04/03,03:00,24.3,S/D,91,264,1.0
2026/04/03,04:00,23.8,S/D,97,303,1.6
2026/04/03,05:00,23.7,S/D,95,21,1.2
2026/04/03,06:00,23.3,S/D,97,35,0.3
2026/04/03,07:00,23.2,S/D,99,105,0.0
2026/04/03,08:00,23.4,S/D,98,47,0.0
2026/04/03,09:00,24.2,S/D,90,1,0.0
2026/04/03,10:00,24.6,S/D,90,233,0.0
2026/04/03,11:00,25.4,S/D,87,200,0.4
2026/04/03,12:00,26.7,S/D,81,253,0.2
2026/04/03,13:00,27.7,S/D,78,195,1.5
2026/04/03,14:00,28.0,S/D,79,321,0.7
2026/04/03,15:00,27.6,S/D,78,47,1.3
2026/04/03,16:00,28.7,S/D,75,57,1.0
2026/04/03,17:00,27.3,S/D,84,124,1.5
2026/04/03,18:00,26.0,S/D,89,127,0.5
2026/04/03,19:00,25.3,S/D,94,30,0.0
2026/04/03,20:00,25.0,S/D,96,76,0.0
2026/04/03,21:00,25.1,S/D,96,71,0.0
2026/04/03,22:00,25.0,S/D,97,119,0.0
2026/04/03,23:00,24.6,S/D,98,166,0.0
2026/04/04,00:00,24.3,S/D,99,138,0.1
2026/04/04,01:00,24.3,S/D,98,160,0.0
2026/04/04,02:00,23.9,S/D,99,148,0.0
2026/04/04,03:00,23.7,S/D,100,153,0.0
2026/04/04,04:00,23.8,S/D,100,60,0.0
2026/04/04,05:00,23.9,S/D,100,136,0.0
2026/04/04,06:00,23.8,S/D,100,105,0.0
2026/04/04,07:00,24.7,S/D,96,100,0.2
2026/04/04,08:00,27.9,S/D,81,115,0.5
2026/04/04,09:00,28.5,S/D,79,158,0.7
2026/04/04,10:00,29.3,S/D,75,247,0.6
2026/04/04,11:00,30.4,S/D,68,181,0.9
2026/04/04,12:00,30.4,S/D,71,155,1.1
2026/04/04,13:00,32.0,S/D,65,166,2.6
2026/04/04,14:00,31.4,S/D,67,153,1.9
2026/04/04,15:00,32.6,S/D,61,211,1.1
2026/04/04,16:00,32.4,S/D,64,275,1.5
2026/04/04,17:00,31.2,S/D,67,262,1.4
2026/04/04,18:00,28.4,S/D,83,33,0.1
2026/04/04,19:00,27.6,S/D,89,215,0.0